文章日期,文章标题,文章链接,文章简介,文章作者,文章封面,原文链接,是否原创,文章位置,是否付费,阅读数,在看数,点赞数,留言数
2022-02-27,最新！深圳龙岗在坂田街道划定封控、管控和防范区,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149266&idx=2&sn=4dab6bd18bc670f5e564a7faf268bf3c&chksm=8c4da165bb3a2873efa801770f4a143f63fc90fd465189bd850e555c72cec46961d782773d33&scene=27#wechat_redirect,又双叒,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18wEcKibGND953LU43DFicUShHXZlUOhcEwyY3KU6BjvyHNwsDV9cUSFopV7scn5k5CsF8PoKHrcbYHg/0?wx_fmt=jpeg,,否,2,否,100001,366,827,66
2022-02-27,通告！深圳南山在蛇口、招商街道划定封控、管控区域,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149266&idx=1&sn=53fc12adfc0bcc17a4a0f06303126106&chksm=8c4da165bb3a287352bc15bed1773db5b2a4e91cdc52f17f0daa9ba2329cc0188bec8e6b17fb&scene=27#wechat_redirect,南山难,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18wEcKibGND953LU43DFicUShHkBKveGD7Q3oww5pcZJ8HB9iaZajib9ECa1BQKLBCz2cSX2sDjicytFyYQ/0?wx_fmt=jpeg,,否,1,否,100001,1183,2906,90
2022-02-27,2月26日14-24时深圳新增19例病例，在隔离观察的密接者和重点区域筛查中发现,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149246&idx=1&sn=264a8482eec302183546ebf86a495798&chksm=8c4da289bb3a2b9ffca2b1a1c777263f3eaed24bf317fbb78b746218720b6b16291b17b15f3e&scene=27#wechat_redirect,新冠别加戏了快杀青吧,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18xicbYvNTf85RC6cjXIRGZtvbUicicGqga7Te1VrdbHyibr63KK2ckqjXGv4R7sNe5aE5Ea9UHn5VAMOg/0?wx_fmt=jpeg,,否,1,否,100001,2809,6509,92
2022-02-26,停运停航、这些公园关闭！深圳紧急通知,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149215&idx=2&sn=aa1317ef0c5e0dbe8773596b5cb6ef1b&chksm=8c4da2a8bb3a2bbe34ce1f65f564c97742864f00f5ecf5d966c3d770b246e22cacb2d88083c6&scene=27#wechat_redirect,只要还有1根葱坚决不往菜场冲,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18xicbYvNTf85RC6cjXIRGZtvksibZJOXossic8bia5cRyzKzB0NcwAMYOSvg6NJCuLtO3tHVrK2cYbzjw/0?wx_fmt=jpeg,,否,2,否,100001,732,1702,72
2022-02-26,深航通告，机票退票及变更可特殊办理,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149215&idx=3&sn=20ad455fbe6161f6aadb40452ee9630f&chksm=8c4da2a8bb3a2bbe7622d0f6be69948403064107f1893d6d5c83b47f90ac6e757072281a9552&scene=27#wechat_redirect,先约核酸再约远方,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18xicbYvNTf85RC6cjXIRGZtvWiblaHWvEKyibLgErc1Aos6TJqicJYvucxeqGZeLKbmbiaM3p6Xze7Y1ww/0?wx_fmt=jpeg,,否,3,否,91966,111,241,67
2022-02-26,罗湖：跨境货车司机违规路边卸货，立案！,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149215&idx=4&sn=a775fdfe8f594ac8c252c914ac25803d&chksm=8c4da2a8bb3a2bbe0507b119050b52f772f94f811ead4d3498252a0c599ea52a5adab567dc95&scene=27#wechat_redirect,疫情面前，人人平等,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18xicbYvNTf85RC6cjXIRGZtvuGvDnMV0JiaQFDdJk4PUiaFAv3mCOickwNUeK77fhBf01lJmv6s0wJZ7A/0?wx_fmt=jpeg,,否,4,否,100001,223,554,35
2022-02-26,通告！深圳龙岗在吉华街道划定封控、管控和防范区,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149215&idx=1&sn=443d8546a00e4dc289f517f80922bf4b&chksm=8c4da2a8bb3a2bbed4ee024bd94d31089af9905b16bcb20d373aefc49deb46467b619d9566a6&scene=27#wechat_redirect,龙岗人：吃瓜吃到自己身上,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18xicbYvNTf85RC6cjXIRGZtvd7s9sQxezwFwibBhYG5cicBFpAibficR63L57DPL1jllkaCMFoMWUN44Lg/0?wx_fmt=jpeg,,否,1,否,100001,1241,2893,89
2022-02-26,通告！深圳龙华在民治樟坑社区划分封控、管控区,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149203&idx=2&sn=636cb4258e36de07e24483560eb16cd2&chksm=8c4da2a4bb3a2bb25c85a116a6e256545613f9de1b3f8f2a187e3030653d72488cc673d5d7a8&scene=27#wechat_redirect,天会放晴深圳也一定行,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18xicbYvNTf85RC6cjXIRGZtvH4qRMakfChsWX0TBWT3qSu7ytTDMQCEKX5KWLtCxhslcYxBgGf0FNg/0?wx_fmt=jpeg,,否,2,否,100001,320,717,74
2022-02-26,深圳市委最新部署：全力打好疫情歼灭战,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149203&idx=3&sn=abbaf1554e51d76ba6546e1fbf1fcef8&chksm=8c4da2a4bb3a2bb2d066c625176248baec09ae403a9e06ddb1831c06542d50e770ee71a7c814&scene=27#wechat_redirect,顶硬上！,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18xicbYvNTf85RC6cjXIRGZtvxoOYoMPwvKyW7wiaNRW3f1KOXVPHIkpxuUH5ic1ZCLUumXlwBLKs4dlw/0?wx_fmt=jpeg,,否,3,否,100001,235,609,46
2022-02-26,2月26日0-14时深圳新增11例病例，在隔离观察的密接者、重点区域和重点人员筛查中发现,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149203&idx=1&sn=b42d1541a1971918025ada00866e0336&chksm=8c4da2a4bb3a2bb2b8590477554e81b1bcba3494942e4cf2062c0476d2cb5d18fe8151b843e4&scene=27#wechat_redirect,你今天做核酸了没,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18xicbYvNTf85RC6cjXIRGZtvN2uv58tb6msyMB4VMeTQiat6Qgh7a1icAY4H92Cs847ouXicmXXyeyfMw/0?wx_fmt=jpeg,,否,1,否,100001,1651,3771,97
2022-02-26,2月25日深圳新增9例本土确诊病例和9例无症状感染者，新增境外输入26例确诊病例和8例无症状感染者,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149084&idx=1&sn=15e882a4ef4fc09884007c31921cb7a0&chksm=8c4da22bbb3a2b3d0d68a24b07921342020984d6a6c5d2327ed62768d1f9696c6a538b55bf3e&scene=27#wechat_redirect,饭前yue一yue,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18xicbYvNTf85RC6cjXIRGZtvic2UNibUCEfAibt2mbKLwOkStDxsBe1gdbg5tLGt2Qn7b6bj6ibY1gEVag/0?wx_fmt=jpeg,,否,1,否,100001,1186,2689,77
2022-02-26,深圳新增18例病例，在已隔离观察的密接者和重点区域核酸筛查中发现,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149047&idx=1&sn=f952e7687ab86c93d0db04fda6411902&chksm=8c4da240bb3a2b5627fd42ad0933fad7103b77ae8c4de500f5a9c0f6951e6fe8f7f21ceddf14&scene=27#wechat_redirect,稳住啊深仔！,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RZjvXAqMyyrbibGqXjDBRml7yMx5zuv80ia8hB74wgDvEIrH5iaiaeCQyxw/0?wx_fmt=jpeg,,否,1,否,100001,3872,9939,95
2022-02-26,阴性！科兴科学园最新情况说明,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652149024&idx=1&sn=64c50d10a7f5f5f660ac8cdf587209e1&chksm=8c4da257bb3a2b4182e08b1ca54a8a4e09c31ec061dcbe5cd065207ef4b51f0cf9ad2f0ca055&scene=27#wechat_redirect,打工人已阅，，（继续加班ing）,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RyHBdIprNIyKUnLN6WD3XaicWicjTGqdicHZRGMkBv3E0Ey5130J7zBjag/0?wx_fmt=jpeg,,否,1,否,100001,2197,5916,96
2022-02-25,深圳福田“封区”？网传不实,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148973&idx=1&sn=c277579bfa41211f1b91038e1697d455&chksm=8c4da39abb3a2a8c28685df0b15d2eda88373da44365500cc4e89e15bb7aa0c69905a7e6ec8e&scene=27#wechat_redirect,假消息！,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RLhBahbARfQr1JmarQQic1y366OUOHbR0QuDG9UVE2zSibNhE1zEC6PNA/0?wx_fmt=jpeg,,否,1,否,100001,2131,5341,88
2022-02-25,在封控、管控区域内，生病该找谁？能去医院吗？,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148964&idx=2&sn=1054117559e3ade8a026c9cae14e7d2e&chksm=8c4da393bb3a2a859029ff0901bc2d69ed272803fe058789d25fcb2592f8f3f858e9aad1e059&scene=27#wechat_redirect,内附热线电话,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RUDSnHN1DJP4NUjtGG5MYNSxOfzRhciblRkMYpRsxOy185SrIpODdbkg/0?wx_fmt=jpeg,,否,2,否,100001,334,817,33
2022-02-25,深圳罗湖：一跨境货车司机涉疫违规,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148964&idx=3&sn=99cc7b995d3a386144172db1940a78f2&chksm=8c4da393bb3a2a8558a75300b9bfe47a72a40a685bf457f88ff79271e4cab364689f9793a903&scene=27#wechat_redirect,稳住别浪！,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RotmLLwhAXib6Nb8vNrLa1hrNPyMqribZ59HM7icH1hAw5J5icMhZxPgOZg/0?wx_fmt=jpeg,,否,3,否,100001,222,586,23
2022-02-25,2月25日，深圳口岸检测出20名跨境货车司机核酸阳性,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148964&idx=4&sn=f0449871e9f7224aa366771f2cd85442&chksm=8c4da393bb3a2a852e8fd072d4a704ffc47edcaec74e3e619d47c2c17c0e48c6e96a6957edc3&scene=27#wechat_redirect,麻了,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RAUkO6J5oiaFFx9TMeibjTX4Pg3KESIodGiaI7LhET2JkGYr163JFTPxog/0?wx_fmt=jpeg,,否,4,否,100001,201,450,53
2022-02-25,通告！深圳龙华在民治街道划定封控、管控和防范区,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148964&idx=1&sn=04e5f1eadfbecb059ad753bf9d013efb&chksm=8c4da393bb3a2a855e27eaf82d5a509214dcb97a86b165ab1c3f2c2ce3f29ccd7294964e6d28&scene=27#wechat_redirect,群友+1,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RW8jDbS0414wMSuWJqhc7Pc1uRu9ZKmaNNF9Z9JblI6RRJbo8HmWbRg/0?wx_fmt=jpeg,,否,1,否,100001,1509,3398,70
2022-02-25,2月24日深圳新增8例本土确诊病例和5例无症状感染者，新增境外输入16例确诊病例和8例无症状感染者,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148851&idx=1&sn=b84c9948dfa1574078b5d5d6960408c7&chksm=8c4da304bb3a2a129884ff8e30dfa5c4a62a7ff5d183a09c1e104a2cc2f13dfe78c4d7516875&scene=27#wechat_redirect,工还是要继续打的,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RhoFKcZ8AZ3bm5SXq25CSFs35dF3z80ZqiaKuAn1icWI84PChj40jLzgg/0?wx_fmt=jpeg,,否,1,否,100001,1344,3039,44
2022-02-25,通告！深圳南山在南山街道划定封控、管控和防范区域,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148833&idx=1&sn=fd14824e39afe1364e61d790a8c74e66&chksm=8c4da316bb3a2a004297bd8eda39ddd71b097b3e232fa84a296ac8eef25f4785d82bf8d01aa4&scene=27#wechat_redirect,还好昨晚没刀我,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RiccicQbTicPGCWY3wGKrcSN3ks39LEs7BZDwzDEH4TfiaKdd4F5GxHL6Wg/0?wx_fmt=jpeg,,否,1,否,100001,1789,5026,36
2022-02-25,深圳福田连发4通告！涉及5街道，新增封控管控区,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148776&idx=1&sn=009da6ec0556125c50cd86825a4705da&chksm=8c4da35fbb3a2a49a4b5de23371a03e818ac0a46f432d620b67e48b39d0821895d46afb37ba3&scene=27#wechat_redirect,让我看看今天还有谁,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18w0XWx1SBlgT3bjicWWUJh7RpSVT0hHU2PrlqXDE1BTjUugyF8h9D4vyXKQ0211pdYgbloh5qMqacw/0?wx_fmt=jpeg,,否,1,否,100001,1573,3616,70
2022-02-25,2月24日14-24时深圳新增5例病例，在隔离观察的密接者和重点区域筛查中发现,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148763&idx=1&sn=1e6a47fe24cb73bcad1705e179e2c03c&chksm=8c4da36cbb3a2a7a402c555c00be050209e85fc6d650869ad945566023668faeddb0fffea481&scene=27#wechat_redirect,防护做到位病毒没机会,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zDnqrROZbN1cgs5RkmJoj7MnW2g9yxlMlLuVNl2OuuiaxzlTZT3D0DAhJ9sn7NMDjIBZqWE8AdZ7A/0?wx_fmt=jpeg,,否,1,否,100001,2611,6225,91
2022-02-24,2月24日，深圳口岸检测出23名跨境货车司机核酸阳性,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148761&idx=2&sn=d00f02cfcbe34b20e96f47af0179a069&chksm=8c4da36ebb3a2a78f9dc5da4a91ff9d40ec6636805b56f741afa87aa3fc18fda5bebc636ec53&scene=27#wechat_redirect,留给香港的跨境司机不多了,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zDnqrROZbN1cgs5RkmJoj7DBXHeEFIjLV95rURGTTuVNetSibz3Uqo55retIqiafsRm9NXwMV3Uv7w/0?wx_fmt=jpeg,,否,2,否,100001,329,706,68
2022-02-24,龙岗发布通告！出入“标配”48小时核酸阴性证明,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148761&idx=1&sn=2f97b74bbce3d6fb8795a3000032541b&chksm=8c4da36ebb3a2a78ec52c684c2c2e7a38200089b49ca111c925c235e36079b5312f7fd92ea7b&scene=27#wechat_redirect,落来做核酸啦！,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zDnqrROZbN1cgs5RkmJoj7JhVt9nUf8yw8Mvdca9iaCXLrPLib576jx5bffhOjw9uAwic32EkSA6pag/0?wx_fmt=jpeg,,否,1,否,100001,939,2156,84
2022-02-24,2月24日0-14时深圳新增8例病例，在隔离观察的密接者和重点区域筛查中发现,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148727&idx=1&sn=3abbb202afd18c14c18fad1dbcd6af0d&chksm=8c4da480bb3a2d961005cc2951cdc797e60b39c2e4f11ae901fe2957b4999294e635aba7407f&scene=27#wechat_redirect,猪脚饭已退出深圳流调,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zDnqrROZbN1cgs5RkmJoj7SGB7QHQ1oIUtxiba5XBOOBvsc2RPkm2Y3vjNObrEYwfU6CSxCEpfjZQ/0?wx_fmt=jpeg,,否,1,否,100001,2699,6597,94
2022-02-24,通告！深圳南山在招商街道划定封控、管控和防范区域,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148671&idx=1&sn=331209c2b98e1199824f2b99c63ef6e5&chksm=8c4da4c8bb3a2dde40f5a00d02b85a7004facda61d314e70f6925887727631cd3f742e9a35eb&scene=27#wechat_redirect,这群聊我不想加入啊！,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zDnqrROZbN1cgs5RkmJoj7ZZB0vSfEmHAIUcGrWQG9wTfSc97Mp95gLadA5ibHxXvHbchW982ibYYA/0?wx_fmt=jpeg,,否,1,否,100001,1466,3335,87
2022-02-24,2月23日深圳新增8例本土确诊病例和1例无症状感染者，新增20例境外输入确诊病例和7例无症状感染者,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148656&idx=1&sn=91acc525d21e7d08fa35fff25bb9a50c&chksm=8c4da4c7bb3a2dd1a9852eaea04bb03f2ecf133361b44a0622bde1a3dc1b9e851426bec39c56&scene=27#wechat_redirect,既不敢躺平，，又不想站着,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zDnqrROZbN1cgs5RkmJoj7hP8rUtlicepdeKkVEFII1g0gCribfk1ic93cX90iaxWmNWCLoEF3RKX0rA/0?wx_fmt=jpeg,,否,1,否,100001,1163,2429,90
2022-02-24,深圳福田深夜3连！划定封控、管控和防范区域,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148584&idx=1&sn=84bd9aa7d462896653961c0abefd4f1f&chksm=8c4da41fbb3a2d09bda4c5fccb03fc393261babf4867dddeb0c41190fa20c75a80b287242e72&scene=27#wechat_redirect,我想出去打工！,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zmSF8RKSe7ialchk9NoB2LZW66TV5bu1V0PX10TeQQJkWHA0IibJMhHJvicA4hYKWDcxLJRobfCOQww/0?wx_fmt=jpeg,,否,1,否,100001,2038,4467,95
2022-02-24,深圳新增9例病例，在集中隔离观察的密接者和重点区域核酸筛查中发现,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148572&idx=1&sn=b03fd6039c3695e1efdb080f7f37813e&chksm=8c4da42bbb3a2d3d562fecdae8bf067da747e63c6119f32076d02c07bee95ab670d1b38bae93&scene=27#wechat_redirect,别慌，我们一起撑,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zmSF8RKSe7ialchk9NoB2LZGQ3ESh6FXAIgt3zHWV6lZ6Nl9QiaicW3TLVIvCo5ibnR8KA1FEjTPUo0Q/0?wx_fmt=jpeg,,否,1,否,100001,2256,5022,95
2022-02-23,注意！深圳这些公交线路临时调整、停运！,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148565&idx=1&sn=0d425bf1cc3a3421b60f655a034d2c01&chksm=8c4da422bb3a2d34e7bbf7ba5fafa4d4a8c9e3e48183454b01180606c6c6923e3bef34c76d63&scene=27#wechat_redirect,不是吧阿sir，，我踩共享单车的哦,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zmSF8RKSe7ialchk9NoB2LZzoYdHBnibgial2iaudic5aaGrQ6yHKSUbTbpLIIaErAm7VUguIn1MWNibow/0?wx_fmt=jpeg,,否,1,否,100001,1399,3641,93
2022-02-23,通告！龙岗坂田调整封控、管控和防范区域,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148502&idx=2&sn=cc407f55605101befb15da822acf3f6b&chksm=8c4da461bb3a2d771575ad4fb16cdc21b5522c9075c6fab4a6907c9ae224e1fe5e67e9b8f48e&scene=27#wechat_redirect,还好是缩小范围,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zmSF8RKSe7ialchk9NoB2LZ8N1LTyqjOibRWeWuXUPNfQQk5yElNR4Z4LWJRlgencsekgsR5XUdW9Q/0?wx_fmt=jpeg,,否,2,否,100001,388,926,95
2022-02-23,2月23日，深圳口岸检测出18名跨境货车司机核酸阳性,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148502&idx=1&sn=266b22cd41e3c5a2e50510570cf235f2&chksm=8c4da461bb3a2d773aaafbf9ba0b3746d2a597a176ac5edb11087c50ab5aa3801dcfa3f1aa65&scene=27#wechat_redirect,留给对面的跨境司机不多了😭,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zmSF8RKSe7ialchk9NoB2LZ5cqWDSbIIkfxV01B69YH0yhTL9Yeibbpa1T88tM52h53MRfNTk6yFbg/0?wx_fmt=jpeg,,否,1,否,100001,1062,2491,95
2022-02-23,深圳龙岗警方最新通报！,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148484&idx=2&sn=8be77b261df3b85d86f2fdc257a6254a&chksm=8c4da473bb3a2d650beb35c7be1808a4dd52262b40a2128bd9ba9a1797218345ace05ce60654&scene=27#wechat_redirect,给爷整无语😓辣,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zmSF8RKSe7ialchk9NoB2LZd1OSTmBDGNicUSKCtUqtNcuiaAvPI5uZk2odw6HaOWqiaHfFhib09DY1uQ/0?wx_fmt=jpeg,,否,2,否,100001,558,1581,52
2022-02-23,2月22日深圳新增7例本土确诊病例和1例新冠病毒无症状感染者，新增17例境外输入确诊病例,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148484&idx=1&sn=daa8e24f3bca4e8f59e60e29303029c5&chksm=8c4da473bb3a2d65fa43cf05ad1a428bb49a4d9bb1282c4ca5b58c34991d30667c76e591f5e0&scene=27#wechat_redirect,在？cpdd,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18zmSF8RKSe7ialchk9NoB2LZFeu33MJ6CylhN928pU4QBe9tuMibZHia0HBKt8zTthfq8a0CRmdP40iaw/0?wx_fmt=jpeg,,否,1,否,100001,1073,2367,96
2022-02-23,深圳罗湖一地升为中风险！桂园街道划定封控区、管控区和防范区,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148420&idx=2&sn=687800891bc3077636a10a35630234cd&chksm=8c4da5b3bb3a2ca5a5ccbafcccb2e66b15c41ef778c8ed31e2c4e7e10a7d97468b6c99faec11&scene=27#wechat_redirect,罗湖挺住,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18yGfCVwM0arNd15mrvshfr97wibSyKUictEuEIrprBURePzlqrpmGdSaCeMQ1PGLYdhO4FpvC1Bxq6g/0?wx_fmt=jpeg,,否,2,否,100001,300,778,77
2022-02-23,深圳福田连发3通告！划定封控、管控和防范区域,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148420&idx=1&sn=a961cd3fb3e427436600de08efc2cf16&chksm=8c4da5b3bb3a2ca51319f7f2d2186595101faa5eaae28836940fa2bbe4271aadf9e5c2ed1e9b&scene=27#wechat_redirect,福田挺住！,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18yGfCVwM0arNd15mrvshfr9WU6zoHvDqGLzcP04V6hEYUcRglRqWLGykIfTt8TpRHkbrX3Eic4NLuw/0?wx_fmt=jpeg,,否,1,否,100001,1034,2503,96
2022-02-23,深圳新增8例病例，在集中隔离的密接者、重点人群和重点区域核酸筛查中发现,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148370&idx=1&sn=0b31ad49bcc33d04521a9a3f9d7c8f40&chksm=8c4da5e5bb3a2cf39d4c29983d9c7516750d4ce730ddb040dab6d0f34b94190b6f9aee876b7a&scene=27#wechat_redirect,天佑深圳！,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18yGfCVwM0arNd15mrvshfr9Jj9MfoLjxibf6DJIALWmw7ImfZBWP0z1DfsxWFPGD6sLA4HdjRqFjEA/0?wx_fmt=jpeg,,否,1,否,100001,2665,6389,91
2022-02-22,康泰疫苗第3针开打！预约前，先搞清这2点！,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148337&idx=1&sn=988bc21bfa9f084c92bea8de7d014ebe&chksm=8c4da506bb3a2c10d67a3fcba44522c763c40ebf316380c8e159a8b5a9fde55ac738537518e4&scene=27#wechat_redirect,就问第4针啥时候来？,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18yGfCVwM0arNd15mrvshfr9qJ81gKkayhelhmia6dHmOTG3DCtdFa8JiarDrbRCqDDEqFxAibbLEPN4w/0?wx_fmt=jpeg,,否,1,否,100001,1345,3332,96
2022-02-22,出入“标配”48小时核酸证明！深圳罗湖发布通告,http://mp.weixin.qq.com/s?__biz=MzIxNDA0MTExMg==&mid=2652148319&idx=1&sn=837d515d70ddb1ae6c26b1e8e9b5086e&chksm=8c4da528bb3a2c3e32cca69b3bbd2e91c29e7f2607ed73f2c77d4a579362c88f513d06b30d5c&scene=27#wechat_redirect,好冷,,http://mmbiz.qpic.cn/mmbiz_jpg/N5niatN9B18yGfCVwM0arNd15mrvshfr97S8nibd4q8N4JVJjo0KBHBNJtwgzXwD8nN9vTzfYjNKAjoEJgq7wKTA/0?wx_fmt=jpeg,,否,1,否,100001,1790,4725,96
